Variant,Target,Threshold_Probability,Model_Net_Benefit,Treat_All_Net_Benefit,Treat_None_Net_Benefit,TP,FP
Isotonic_sensitivity,1m,0.086,0.0010346287733847483,-0.08754056632655638,0.0,123,659
Isotonic_sensitivity,1m,0.087,0.001022849339102546,-0.08873173890741787,0.0,123,658
Isotonic_sensitivity,1m,0.088,0.0010110812721857568,-0.08992552370885146,0.0,123,657
Isotonic_sensitivity,1m,0.089,0.0009993246100680768,-0.09112192933312022,0.0,123,656
Isotonic_sensitivity,1m,0.09,0.0009859017356642543,-0.09232096442029948,0.0,123,656
Isotonic_sensitivity,1m,0.091,0.0009758456507884469,-0.09352263764848462,0.0,123,654
Isotonic_sensitivity,1m,0.092,0.0009624047160297065,-0.09472695773400058,0.0,123,654
Isotonic_sensitivity,1m,0.093,0.000709919216695346,-0.09593393343161248,0.0,60,177
Isotonic_sensitivity,1m,0.094,0.0007062654632481336,-0.09714357353473789,0.0,60,177
Isotonic_sensitivity,1m,0.095,0.0007026036352076678,-0.09835588687566026,0.0,60,177
